Alabama	9	36.9	57.2	5
Alaska	3	41.4	46.8	10
Arizona	11	46.4	46.5	5
Arkansas	6	37.7	56.0	5
California	55	59.9	34.6	5
Colorado	9	48.6	42.7	5
Connecticut	7	54.4	39.5	5
D.C.	3	83.4	10.9	5
Delaware	3	54.5	38.5	8
Florida	29	48.8	46.6	5
Georgia	16	45.8	48.9	5
Hawaii	4	58.3	34.5	6
Idaho	4	35.1	54.9	6
Illinois	20	55.0	39.1	5
Indiana	11	41.9	50.4	5
Iowa	6	46.6	46.6	5
Kansas	6	40.4	50.5	5
Kentucky	8	39.2	53.8	5
Louisiana	8	40.1	55.0	5
Maine	3	50.4	41.1	7
Maine 2nd	1	45.5	45.1	10
Maryland	10	62.1	32.5	5
Massachusetts	11	59.6	33.2	5
Michigan	16	49.6	43.2	5
Minnesota	10	50.0	43.0	5
Mississippi	6	42.7	53.4	5
Missouri	10	43.0	50.3	6
Montana	3	39.0	50.7	8
Nebraska	3	36.2	54.3	7
Nebraska 1st	1	37.2	53.6	10
Nebraska 2nd	1	44.1	47.5	10
Nevada	6	47.6	45.3	5
New Hampshire	4	48.9	42.3	6
New Jersey	14	55.1	40.4	5
New Mexico	5	47.2	37.6	5
New York	29	58.3	36.6	5
North Carolina	15	48.5	46.6	5
North Dakota	3	36.1	53.8	8
Ohio	18	46.8	46.9	5
Oklahoma	7	35.5	57.8	6
Oregon	7	52.8	40.6	5
Pennsylvania	20	50.0	44.2	5
Rhode Island	4	55.7	38.2	8
South Carolina	9	44.3	50.3	5
South Dakota	3	39.4	52.0	8
Tennessee	11	40.7	53.3	5
Texas	38	43.4	49.9	5
Utah	6	30.8	38.2	7
Vermont	3	60.1	31.8	8
Virginia	13	51.0	42.9	5
Washington	12	53.5	39.6	6
West Virginia	5	34.1	59.2	6
Wisconsin	10	49.8	43.6	6
Wyoming	3	28.5	61.4	9
