Alabama	9	36.3	56.2	5
Alaska	3	37.3	47.9	10
Arizona	11	43.2	46.5	5
Arkansas	6	37.1	54.9	5
California	55	56.5	35.3	5
Colorado	9	45.7	42.6	5
Connecticut	7	51.0	39.5	5
D.C.	3	74.9	16.7	5
Delaware	3	50.1	39.9	8
Florida	29	46.7	45.8	5
Georgia	16	43.8	48.3	5
Hawaii	4	60.2	30.9	6
Idaho	4	32.0	54.1	6
Illinois	20	51.9	39.7	5
Indiana	11	39.5	50.0	5
Iowa	6	43.9	45.8	5
Kansas	6	39.0	49.6	5
Kentucky	8	38.2	53.8	5
Louisiana	8	38.9	52.7	5
Maine	3	46.9	41.0	7
Maine 2nd	1	41.1	46.7	10
Maryland	10	57.5	34.1	5
Massachusetts	11	54.2	35.4	5
Michigan	16	47.9	42.9	5
Minnesota	10	48.2	42.9	5
Mississippi	6	40.3	54.2	5
Missouri	10	41.3	49.2	6
Montana	3	38.6	49.3	8
Nebraska	3	35.4	54.2	7
Nebraska 1st	1	36.8	52.9	10
Nebraska 2nd	1	43.5	47.1	10
Nevada	6	46.0	44.9	5
New Hampshire	4	46.0	41.8	6
New Jersey	14	51.1	41.5	5
New Mexico	5	43.2	36.3	5
New York	29	55.0	36.8	5
North Carolina	15	46.1	46.2	5
North Dakota	3	35.2	52.5	8
Ohio	18	44.9	45.4	5
Oklahoma	7	34.4	56.4	6
Oregon	7	50.2	39.8	5
Pennsylvania	20	47.7	43.8	5
Rhode Island	4	50.8	39.0	8
South Carolina	9	42.0	50.8	5
South Dakota	3	36.7	49.6	8
Tennessee	11	37.0	54.3	5
Texas	38	40.5	49.8	5
Utah	6	34.1	50.2	7
Vermont	3	55.9	33.1	8
Virginia	13	47.2	42.1	5
Washington	12	50.0	38.7	6
West Virginia	5	34.8	56.0	6
Wisconsin	10	47.3	42.4	6
Wyoming	3	27.1	59.2	9
