Alabama	9	36.4	56.3	5
Alaska	3	41.8	46.7	10
Arizona	11	46.1	45.9	5
Arkansas	6	38.4	54.5	5
California	55	57.2	35.0	5
Colorado	9	49.1	41.3	5
Connecticut	7	53.9	38.5	5
D.C.	3	75.0	15.7	5
Delaware	3	54.1	38.2	8
Florida	29	49.3	45.4	5
Georgia	16	45.7	48.4	5
Hawaii	4	61.1	30.8	6
Idaho	4	32.3	55.3	6
Illinois	20	48.9	42.7	5
Indiana	11	41.4	49.3	5
Iowa	6	46.3	45.6	5
Kansas	6	41.3	49.7	5
Kentucky	8	38.4	54.0	5
Louisiana	8	39.5	52.6	5
Maine	3	50.1	40.4	7
Maine 2nd	1	45.3	44.4	10
Maryland	10	58.1	34.1	5
Massachusetts	11	55.0	35.5	5
Michigan	16	50.8	41.1	5
Minnesota	10	50.2	42.8	5
Mississippi	6	42.4	52.8	5
Missouri	10	44.1	48.9	6
Montana	3	39.9	48.4	8
Nebraska	3	37.8	52.8	7
Nebraska 1st	1	39.1	51.6	10
Nebraska 2nd	1	45.6	45.7	10
Nevada	6	48.3	44.2	5
New Hampshire	4	49.8	41.0	6
New Jersey	14	54.2	40.2	5
New Mexico	5	47.8	36.6	5
New York	29	55.7	36.8	5
North Carolina	15	48.7	45.6	5
North Dakota	3	35.9	52.6	8
Ohio	18	47.1	45.7	5
Oklahoma	7	37.2	55.8	6
Oregon	7	52.6	40.3	5
Pennsylvania	20	50.5	43.3	5
Rhode Island	4	56.9	36.3	8
South Carolina	9	43.8	50.5	5
South Dakota	3	40.4	51.0	8
Tennessee	11	37.8	54.0	5
Texas	38	43.6	49.3	5
Utah	6	31.9	38.1	7
Vermont	3	57.0	33.1	8
Virginia	13	51.1	41.5	5
Washington	12	52.8	38.1	6
West Virginia	5	35.2	56.1	6
Wisconsin	10	50.4	42.3	6
Wyoming	3	28.0	59.7	9
