Alabama	9	36.9	57.2	5
Alaska	3	41.6	46.8	10
Arizona	11	46.1	47.0	5
Arkansas	6	37.1	57.8	5
California	55	60.1	34.7	5
Colorado	9	48.2	43.1	5
Connecticut	7	53.8	40.6	5
D.C.	3	83.5	11.0	5
Delaware	3	53.9	39.7	8
Florida	29	48.4	47.3	5
Georgia	16	45.5	49.6	5
Hawaii	4	58.2	34.6	6
Idaho	4	35.1	54.7	6
Illinois	20	54.5	39.8	5
Indiana	11	41.4	51.0	5
Iowa	6	46.3	47.1	5
Kansas	6	40.0	50.7	5
Kentucky	8	38.4	55.1	5
Louisiana	8	39.4	55.5	5
Maine	3	50.5	41.9	7
Maine 2nd	1	45.8	45.7	10
Maryland	10	61.4	33.1	5
Massachusetts	11	59.4	33.9	5
Michigan	16	49.4	43.6	5
Minnesota	10	49.8	43.4	5
Mississippi	6	42.2	53.6	5
Missouri	10	42.8	50.7	6
Montana	3	38.5	51.3	8
Nebraska	3	35.7	55.4	7
Nebraska 1st	1	36.9	54.1	10
Nebraska 2nd	1	44.4	48.1	10
Nevada	6	47.4	45.7	5
New Hampshire	4	48.6	42.8	6
New Jersey	14	54.9	40.9	5
New Mexico	5	46.7	38.1	5
New York	29	58.1	37.2	5
North Carolina	15	48.5	46.9	5
North Dakota	3	35.5	55.1	8
Ohio	18	46.7	47.3	5
Oklahoma	7	34.7	58.9	6
Oregon	7	52.3	41.5	5
Pennsylvania	20	49.8	44.4	5
Rhode Island	4	54.8	38.9	8
South Carolina	9	44.1	51.0	5
South Dakota	3	38.8	52.7	8
Tennessee	11	40.4	53.8	5
Texas	38	43.0	50.5	5
Utah	6	30.3	38.7	7
Vermont	3	59.5	33.0	8
Virginia	13	50.7	43.4	5
Washington	12	53.3	40.0	6
West Virginia	5	33.6	60.2	6
Wisconsin	10	49.6	44.0	6
Wyoming	3	27.8	62.3	9
